sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0013	s0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-4-hydroxy-proline	1.43	12398	L-4-hydroxy-proline_ISTD		145448
s0013	s0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-4-hydroxy-proline	1.44	13872	L-4-hydroxy-proline_ISTD		146947
s0013	s0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-histidine	1.53	23063	L-histidine_ISTD		145448
s0013	s0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-histidine	1.53	25092	L-histidine_ISTD		146947
s0013	s0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	o-phosphoethanolamine	1.73	1200	o-phosphoethanolamine_ISTD		145448
s0013	s0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	o-phosphoethanolamine	1.71	1204	o-phosphoethanolamine_ISTD		146947
s0014	s0014_a1	sample	1	a	1	3	1970-01-02 04:46:43	L-4-hydroxy-proline	1.44	19793	L-4-hydroxy-proline_ISTD		145748
s0014	s0014_a1	sample	1	a	1	3	1970-01-02 04:46:43	L-histidine	1.53	19420	L-histidine_ISTD		145748
s0014	s0014_a1	sample	1	a	1	3	1970-01-02 04:46:43	o-phosphoethanolamine	1.71	899	o-phosphoethanolamine_ISTD		145748
s0015	s0015_a1	sample	1	a	1	4	1970-01-02 04:46:44	L-4-hydroxy-proline	1.44	22136	L-4-hydroxy-proline_ISTD		146159
s0015	s0015_a1	sample	1	a	1	4	1970-01-02 04:46:44	L-histidine	1.54	25796	L-histidine_ISTD		146159
s0015	s0015_a1	sample	1	a	1	4	1970-01-02 04:46:44	o-phosphoethanolamine	1.73	1106	o-phosphoethanolamine_ISTD		146159
s0016	s0016_b1	sample	1	b	1	5	1970-01-02 04:46:45	L-4-hydroxy-proline	1.44	18934	L-4-hydroxy-proline_ISTD		144188
s0016	s0016_b1	sample	1	b	1	5	1970-01-02 04:46:45	L-histidine	1.53	26450	L-histidine_ISTD		144188
s0016	s0016_b1	sample	1	b	1	5	1970-01-02 04:46:45	o-phosphoethanolamine	1.74	1344	o-phosphoethanolamine_ISTD		144188
s0023	s0023_b1	sample	1	b	1	6	1970-01-02 04:46:46	L-4-hydroxy-proline	1.45	10823	L-4-hydroxy-proline_ISTD		143742
s0023	s0023_b1	sample	1	b	1	6	1970-01-02 04:46:46	L-histidine	1.54	19801	L-histidine_ISTD		143742
s0023	s0023_b1	sample	1	b	1	6	1970-01-02 04:46:46	o-phosphoethanolamine	1.74	1255	o-phosphoethanolamine_ISTD		143742
s0034	s0034_a1	sample	1	a	1	7	1970-01-02 04:46:47	L-4-hydroxy-proline	1.46	21760	L-4-hydroxy-proline_ISTD		144844
s0034	s0034_a1	sample	1	a	1	7	1970-01-02 04:46:47	L-4-hydroxy-proline	1.43	20584	L-4-hydroxy-proline_ISTD		146806
s0034	s0034_a1	sample	1	a	1	7	1970-01-02 04:46:47	L-histidine	1.54	26557	L-histidine_ISTD		144844
s0034	s0034_a1	sample	1	a	1	7	1970-01-02 04:46:47	L-histidine	1.53	24273	L-histidine_ISTD		146806
